Linux 6.9.7-arch1-1 (misaka) 	07/14/2024 	_x86_64_	(16 CPU)

11:21:09 PM   UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11:21:10 PM  1000   1378094   6594.00      0.00  221064  197580   0.69  python
11:21:11 PM  1000   1378094    638.00      0.00  407432  377932   1.32  python
11:21:12 PM  1000   1378094   1055.00      0.00  661384  560004   1.96  python
11:21:13 PM  1000   1378094    326.00      0.00  777096  741160   2.59  python
11:21:14 PM  1000   1378094   1056.00      0.00 1082248  923204   3.23  python
11:21:15 PM  1000   1378094    744.00      0.00 1279880 1097828   3.84  python
11:21:16 PM  1000   1378094   1177.00      0.00 1509256 1278352   4.47  python
11:21:17 PM  1000   1378094    758.00      0.00 1522568 1459212   5.10  python
11:21:18 PM  1000   1378094   1092.00      0.00 1784712 1637292   5.73  python
11:21:19 PM  1000   1378094   1182.00      0.00 2113416 1817780   6.36  python
11:21:20 PM  1000   1378094    901.00      0.00 2127752 1997156   6.98  python
11:21:21 PM  1000   1378094    956.00      0.00 2521992 2176732   7.61  python
11:21:22 PM  1000   1378094   1176.00      0.00 2521992 2355184   8.24  python
11:21:23 PM  1000   1378094   1173.00      0.00 2980744 2533620   8.86  python
11:21:24 PM  1000   1378094    677.00      0.00 2998152 2714176   9.49  python
11:21:25 PM  1000   1378094   1160.00      0.00 2998152 2892556  10.12  python
11:21:26 PM  1000   1378094   1173.00      0.00 3523464 3068880  10.73  python
11:21:27 PM  1000   1378094   1170.00      0.00 3523464 3247308  11.36  python
11:21:28 PM  1000   1378094    821.00      0.00 3544968 3426392  11.98  python
11:21:29 PM  1000   1378094   1010.00      0.00 4200328 3604140  12.60  python
11:21:30 PM  1000   1378094   1171.00      0.00 4201352 3782556  13.23  python
11:21:31 PM  1000   1378094   1165.00      0.00 4201352 3958884  13.84  python
11:21:32 PM  1000   1378094   1171.00      0.00 4202376 4137292  14.47  python
11:21:33 PM  1000   1378094   1130.00      0.00 5013384 4317628  15.10  python
11:21:34 PM  1000   1378094    695.00      0.00 5014408 4494132  15.72  python
11:21:35 PM  1000   1378094   1159.00      0.00 5014408 4670440  16.33  python
11:21:36 PM  1000   1378094    323.00      0.00 5015432 3235940  11.32  python
11:21:37 PM  1000   1378094      0.00      0.00 5015432 2095984   7.33  python
11:21:38 PM  1000   1378094      0.00      0.00 5015432 1919404   6.71  python
11:21:39 PM  1000   1378094      0.00      0.00 5015432 1693456   5.92  python
11:21:40 PM  1000   1378094      0.00      0.00 5015432 1444060   5.05  python
11:21:41 PM  1000   1378094      0.00      0.00 5015432 1182132   4.13  python
11:21:42 PM  1000   1378094      0.00      0.00 5015432  918052   3.21  python
11:21:43 PM  1000   1378094      0.00      0.00 5015432  679028   2.37  python
11:21:44 PM  1000   1378094      0.00      0.00 5015432  449244   1.57  python
11:21:45 PM  1000   1378094      0.00      0.00 5015432  265336   0.93  python
11:21:46 PM  1000   1378094      0.00      0.00 5010312  223924   0.78  python
11:21:47 PM  1000   1378094      0.00      0.00 5010312  223924   0.78  python
11:21:48 PM  1000   1378094      0.00      0.00 5010312  223924   0.78  python
11:21:49 PM  1000   1378094      0.00      0.00 5010312  223924   0.78  python
11:21:50 PM  1000   1378094      0.00      0.00 5010312  223924   0.78  python
11:21:51 PM  1000   1378094      0.00      0.00 5010312  223924   0.78  python
11:21:52 PM  1000   1378094      0.00      0.00 5010312  223924   0.78  python
11:21:53 PM  1000   1378094      0.00      0.00 5010312  223924   0.78  python
11:21:54 PM  1000   1378094      0.00      0.00 5010312  223924   0.78  python
11:21:55 PM  1000   1378094      0.00      0.00 5010312  223924   0.78  python
Creating 2000 contexts, sleeping 10 secs
Finished run

Average:     1000   1378094    687.96      0.00 3700104 1730202   6.05  python
