Linux 6.9.7-arch1-1 (misaka) 	07/14/2024 	_x86_64_	(16 CPU)

11:20:23 PM   UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11:20:24 PM  1000   1374948   5082.00      0.00 1091020  197580   0.69  python
11:20:25 PM  1000   1374948    207.00      0.00 1091020  376236   1.32  python
11:20:26 PM  1000   1374948    213.00      0.00 1092044  561032   1.96  python
11:20:27 PM  1000   1374948    210.00      0.00 1092044  743800   2.60  python
11:20:28 PM  1000   1374948    225.00      0.00 1093068  924500   3.23  python
11:20:29 PM  1000   1374948    206.00      0.00 2141644 1101104   3.85  python
11:20:30 PM  1000   1374948    204.00      0.00 2142668 1279740   4.48  python
11:20:31 PM  1000   1374948    207.00      0.00 2142668 1458396   5.10  python
11:20:32 PM  1000   1374948    206.00      0.00 2142668 1637040   5.72  python
11:20:33 PM  1000   1374948    203.00      0.00 2143692 1813636   6.34  python
11:20:34 PM  1000   1374948    207.00      0.00 2143692 1994340   6.97  python
11:20:35 PM  1000   1374948    204.00      0.00 3193292 2168884   7.58  python
11:20:36 PM  1000   1374948    219.00      0.00 3193292 2347524   8.21  python
11:20:37 PM  1000   1374948    205.00      0.00 3194316 2524124   8.83  python
11:20:38 PM  1000   1374948    204.00      0.00 3194316 2698668   9.44  python
11:20:39 PM  1000   1374948    203.00      0.00 3195340 2875264  10.05  python
11:20:40 PM  1000   1374948    204.00      0.00 3195340 3053912  10.68  python
11:20:41 PM  1000   1374948    203.00      0.00 4244940 3230620  11.30  python
11:20:42 PM  1000   1374948    223.00      0.00 4244940 3409272  11.92  python
11:20:43 PM  1000   1374948    203.00      0.00 4245964 3585864  12.54  python
11:20:44 PM  1000   1374948    205.00      0.00 4245964 3760412  13.15  python
11:20:45 PM  1000   1374948    201.00      0.00 4246988 3937008  13.77  python
11:20:46 PM  1000   1374948    203.00      0.00 4246988 4111556  14.38  python
11:20:47 PM  1000   1374948    200.00      0.00 5295564 4286096  14.99  python
11:20:48 PM  1000   1374948    208.00      0.00 5296588 4466816  15.62  python
11:20:49 PM  1000   1374948    307.00      0.00 5297612 4633540  16.20  python
11:20:50 PM  1000   1374948      0.00      0.00 5297612 3039052  10.63  python
11:20:51 PM  1000   1374948      0.00      0.00 5297612 1630476   5.70  python
11:20:52 PM  1000   1374948      0.00      0.00 5297612 1433996   5.01  python
11:20:53 PM  1000   1374948      0.00      0.00 5297612 1237388   4.33  python
11:20:54 PM  1000   1374948      0.00      0.00 5297612 1040844   3.64  python
11:20:55 PM  1000   1374948      0.00      0.00 5297612  909708   3.18  python
11:20:56 PM  1000   1374948      0.00      0.00 5297612  713100   2.49  python
11:20:57 PM  1000   1374948      0.00      0.00 5297612  516620   1.81  python
11:20:58 PM  1000   1374948      0.00      0.00 5297612  385420   1.35  python
11:20:59 PM  1000   1374948      0.00      0.00 5297612  187404   0.66  python
11:21:00 PM  1000   1374948      0.00      0.00 5291468  181356   0.63  python
11:21:01 PM  1000   1374948      0.00      0.00 5291468  181356   0.63  python
11:21:02 PM  1000   1374948      0.00      0.00 5291468  181356   0.63  python
11:21:03 PM  1000   1374948      0.00      0.00 5291468  181356   0.63  python
11:21:04 PM  1000   1374948      0.00      0.00 5291468  181356   0.63  python
11:21:05 PM  1000   1374948      0.00      0.00 5291468  181356   0.63  python
11:21:06 PM  1000   1374948      0.00      0.00 5291468  181356   0.63  python
11:21:07 PM  1000   1374948      0.00      0.00 5291468  181356   0.63  python
11:21:08 PM  1000   1374948      0.00      0.00 5291468  181356   0.63  python
11:21:09 PM  1000   1374948      0.00      0.00 5291468  181356   0.63  python
Creating 2000 contexts, sleeping 10 secs
Finished run

Average:     1000   1374948    225.26      0.00 4016054 1654012   5.78  python
